a,b,distance,peak_corr,theme
Vertiv,Constellation,2,0.15479631527989327,ai-buildout
Vertiv,NextEra,2,0.12634955416867785,ai-buildout
Vertiv,Vistra,2,0.1801298591245578,ai-buildout
Vertiv,GE Vernova,2,0.1171090203468742,ai-buildout
Vertiv,Electrical grid,2,0.05479658216723191,ai-buildout
Vertiv,Transformer (device),3,0.05254101945778885,ai-buildout
Vertiv,Quanta Services,3,0.06328002636912039,ai-buildout
Vertiv,Eaton,3,0.06084992976339709,ai-buildout
Vertiv,Copper,3,0.0460109234200033,ai-buildout
Vertiv,Uranium,3,0.03851731259287971,ai-buildout
Vertiv,Tesla,4,0.10553629623624969,ai-buildout
Nuclear power,SMR,1,0.18473985121299738,ai-buildout
Nuclear power,Natural gas,2,0.26521612108126347,ai-buildout
Nuclear power,Constellation,1,0.07938877099935104,ai-buildout
Nuclear power,NextEra,2,0.06868364560077357,ai-buildout
Nuclear power,Vistra,2,0.03164026900409141,ai-buildout
Nuclear power,GE Vernova,2,0.06354295469319378,ai-buildout
Nuclear power,Electrical grid,2,0.22217551006655478,ai-buildout
Nuclear power,Transformer (device),3,0.14124282713604996,ai-buildout
Nuclear power,Quanta Services,3,0.06709004181503643,ai-buildout
Nuclear power,Eaton,3,0.07588391550389467,ai-buildout
Nuclear power,Copper,3,0.19109011035804357,ai-buildout
Nuclear power,Uranium,1,0.506166116793741,ai-buildout
